"member_casual","start_station_name","count_station"
"casual","Morgan St & 31st St","888"
"casual","Damen Ave & Walnut (Lake) St","875"
"casual","Harper Ave & 59th St","859"
"casual","Lincoln Ave & Winona St","851"
"casual","Ogden Ave & Congress Pkwy","850"
"casual","Calumet Ave & 33rd St","849"
"casual","Halsted St & 35th St","836"
"casual","Washtenaw Ave & Lawrence Ave","830"
"casual","Racine Ave & 15th St","817"
"casual","Hoyne Ave & Balmoral Ave","800"
"casual","Rockwell St & Fletcher St","792"
"casual","Indiana Ave & 26th St","789"
"casual","Evanston Civic Center","789"
"casual","Clark St & Columbia Ave","788"
"casual","Wood St & Taylor St (Temp)","785"
"casual","N Southport Ave & W Newport Ave","782"
"casual","Sheridan Rd & Greenleaf Ave","782"
"casual","Griffin Museum of Science and Industry","782"
"casual","State St & 35th St","781"
"casual","Damen Ave & Cullerton St","773"
"casual","Cherry Ave & Blackhawk St","766"
"casual","Halsted St & 21st St","765"
"casual","Western Ave & Congress Pkwy","763"
"casual","Spaulding Ave & Division St","757"
"casual","Winchester (Ravenswood) Ave & Balmoral Ave","751"
"casual","63rd St Beach","750"
"casual","Halsted St & North Branch St","741"
"casual","Western Ave & Fillmore St","735"
"casual","Troy St & Elston Ave","729"
"casual","Indiana Ave & 31st St","713"
"casual","Greenwood Ave & 47th St","710"
"casual","May St & Cullerton St","709"
"casual","Malcolm X College","706"
"casual","Oakley Ave & Irving Park Rd","703"
"casual","Christiana Ave & Lawrence Ave","700"
"casual","Rhodes Ave & 32nd St","697"
"casual","Smith Park","697"
"casual","Albany Ave & Montrose Ave","689"
"casual","Drake Ave & Addison St","680"
"casual","Kedzie Ave & Leland Ave","677"
"casual","Wentworth Ave & 24th St","676"
"casual","N Sheffield Ave & W Wellington Ave","667"
"casual","Shields Ave & 31st St","642"
"casual","Emerald Ave & 28th St","642"
"casual","Noble St & Milwaukee Ave (Temp)","641"
"casual","Wentworth Ave & 33rd St","633"
"casual","Monticello Ave & Irving Park Rd","630"
"casual","Central St Metra","627"
"casual","Eastlake Ter & Howard St","624"
"casual","Francisco Ave & Foster Ave","619"
"casual","N Carpenter St & W Lake St","619"
"casual","Woodlawn Ave & Lake Park Ave","618"
"casual","South Shore Dr & 71st St","584"
"casual","Wallace St & 35th St","579"
"casual","Sawyer Ave & Irving Park Rd","566"
"casual","N Paulina St & Lincoln Ave","566"
"casual","Ashland Ave & Archer Ave","560"
"casual","Prairie Ave & Garfield Blvd","559"
"casual","Central St & Girard Ave","557"
"casual","Cottage Grove Ave & Oakwood Blvd","557"
"casual","Western Ave & Grace St","553"
"casual","W Washington Blvd & N Peoria St","549"
"casual","Elston Ave & George St","548"
"casual","Calumet Ave & 35th St","538"
"casual","California Ave & Lake St","532"
"casual","Francisco Ave & Bloomingdale Ave","531"
"casual","Western Ave & 21st St","530"
"casual","Kedzie Ave & 48th Pl","530"
"casual","Clinton St & Polk St","528"
"casual","Central Park Ave & North Ave","525"
"casual","Manor Ave & Leland Ave","523"
"casual","Western Ave & Lunt Ave","522"
"casual","Leavitt St & Archer Ave","521"
"casual","Western Ave & Monroe St","511"
"casual","Kedzie Ave & George St","497"
"casual","Dodge Ave & Church St","496"
"casual","Knox Ave & Montrose Ave","495"
"casual","Francisco Ave & Chicago Ave","483"
"casual","Drake Ave & Montrose Ave","479"
"casual","South Shore Dr & 67th St","472"
"casual","Loomis St & Archer Ave","463"
"casual","Keystone Ave & Fullerton Ave","460"
"casual","Kedzie Ave & Foster Ave","457"
"casual","Cottage Grove Ave & 51st St","455"
"casual","Dorchester Ave & 49th St","450"
"casual","MLK Jr Dr & Pershing Rd","447"
"casual","Francisco Ave & Montrose Ave","443"
"casual","Troy St & Grace St","431"
"casual","Valli Produce - Evanston Plaza","430"
"casual","Clark St & Jarvis Ave","419"
"casual","Ping Tom Park (East)","418"
"casual","Central Park Ave & Ogden Ave","416"
"casual","Elston Ave & Henderson St","416"
"casual","Clark St & Touhy Ave","412"
"casual","Sacramento Blvd & Addison St","411"
"casual","Racine Ave & 13th St","401"
"casual","Kedzie Ave & Lake St","398"
"casual","Racine Ave & 35th St","392"
"casual","N Shore Channel Trail & Argyle St","392"
"casual","Cottage Grove Ave & 63rd St","382"
"casual","Ashland Ave & 13th St","380"
"casual","Western Ave & Howard St","377"
"casual","Elmwood Ave & Austin St","375"
"casual","Ogden Ave & Roosevelt Rd","374"
"casual","N Damen Ave & W Chicago Ave","370"
"casual","St. Louis Ave & Balmoral Ave","358"
"casual","Prairie Ave & 43rd St","356"
"casual","Kildare Ave & Montrose Ave","355"
"casual","Dorchester Ave & 63rd St","355"
"casual","Shields Ave & 28th Pl","355"
"casual","Western Ave & Granville Ave","349"
"casual","Budlong Woods Library","348"
"casual","Pulaski Rd & Eddy St","347"
"casual","Keystone Ave & Montrose Ave","344"
"casual","Ridge Blvd & Touhy Ave","339"
"casual","Pulaski Rd & 51st St","338"
"casual","Milwaukee Ave & Cuyler Ave","338"
"casual","Bernard St & Elston Ave","338"
"casual","Western Ave & Gunnison St","331"
"casual","Warren Park West","329"
"casual","Western Ave & Berteau Ave","328"
"casual","California Ave & 21st St","328"
"casual","Oakley Ave & Touhy Ave","318"
"casual","MLK Jr Dr & 47th St","313"
"casual","Whipple/Irving Park","312"
"casual","Conservatory Dr & Lake St","305"
"casual","Cottage Grove Ave & 43rd St","300"
"casual","Normal Ave & Archer Ave","299"
"casual","Calumet Ave & 51st St","299"
"casual","Warren Park East","295"
"casual","Ridge Blvd & Howard St","295"
"casual","Leavitt St/North Ave","295"
"casual","Albany Ave & Belmont Ave","290"
"casual","Long & Irving Park","289"
"casual","State St & 29th St","288"
"casual","Western Ave & 24th St","286"
"casual","McCormick Blvd & Devon Ave","286"
"casual","Kedzie Ave & Bryn Mawr Ave","279"
"casual","Monticello Ave & Lawrence Ave","277"
"casual","State St & 95th St","277"
"casual","MTV Hubbard St","276"
"casual","Cottage Grove Ave & 47th St","267"
"casual","Campbell Ave & Irving Park Rd","264"
"casual","Kilbourn Ave & Irving Park Rd","259"
"casual","Lincolnwood Dr & Central St","257"
"casual","2112 W Peterson Ave","246"
"casual","California Ave & 23rd Pl","244"
"casual","Hoyne Ave & 47th St","244"
"casual","Kedzie Ave & Chicago Ave","240"
"casual","Princeton Ave & 47th St","232"
"casual","Lincoln Ave & Peterson Ave","229"
"casual","Dodge Ave & Mulford St","225"
"casual","Harlem & Irving Park","225"
"casual","Burnham Greenway & 112th St","220"
"casual","Lincoln Ave & Balmoral Ave","219"
"casual","Chicago State University","214"
"casual","Dodge Ave & Main St","211"
"casual","Wolcott Ave & Fargo Ave","207"
"casual","Kedzie Ave & 21st St","207"
"casual","Stony Island Ave & 63rd St","206"
"casual","Wood St & 35th St","204"
"casual","Washtenaw Ave & Ogden Ave","204"
"casual","Narragansett & Wrightwood","204"
"casual","Western Blvd & 48th Pl","203"
"casual","Halsted St & 37th St","202"
"casual","DuSable Museum","202"
"casual","Kilbourn Ave & Milwaukee Ave","201"
"casual","Jeffery Blvd & 67th St","200"
"casual","Public Rack - Hyde Park Blvd & 53rd St","192"
"casual","Big Marsh Park","192"
"casual","Austin Blvd & Lake St","192"
"casual","MLK Jr Dr & 56th St","186"
